date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2015/01/15 00:09:27.7 119.97 0.14 61.8 0.0 5.2 174 19 -143 49 79 -75 -2.160 -0.247 2.410 -4.060 -3.080 1.060 126 32 5.576 226 15 0.222 337 54 -5.795 5.685 23 C201501150009A 
2015/01/15 02:18:40.0 -14.50 -16.50 10.0 0.0 5.0 349 41 -135 222 62 -59 -2.680 0.275 2.400 2.610 0.238 0.224 290 12 2.534 26 27 1.664 178 60 -4.203 3.369 23 C201501150218A 
2015/01/15 07:15:13.9 -14.39 -16.71 10.0 0.0 4.8 210 39 -17 314 80 -127 -0.769 -1.150 1.920 2.610 -0.574 0.207 72 25 2.135 321 37 1.496 188 43 -3.630 2.882 23 C201501150715A 
2015/01/15 14:01:52.0 102.79 -4.76 63.5 0.0 5.2 187 40 34 71 69 125 1.690 -0.649 -1.040 1.690 0.570 -2.380 23 52 2.723 236 33 0.977 135 17 -3.699 3.211 23 C201501151401A 
2015/01/15 20:29:13.4 -11.52 -26.11 10.0 0.0 5.2 221 47 110 14 47 70 4.180 -1.460 -2.720 -1.230 0.655 -0.902 208 76 4.532 27 14 -1.341 117 0 -3.190 3.861 23 C201501152029A 
2015/01/16 07:13:16.4 167.62 -17.85 8.3 0.0 5.0 9 20 127 150 74 78 3.390 0.147 -3.540 2.990 -4.330 0.579 43 59 6.460 154 12 -0.275 250 28 -6.188 6.324 23 C201501160713A 
2015/01/16 11:39:23.5 -79.97 -3.38 79.0 0.0 5.1 255 70 -164 159 75 -21 -2.290 5.700 -3.410 0.572 2.680 -6.360 208 4 9.015 306 64 -1.089 116 25 -7.926 8.471 23 C201501161139A 
2015/01/16 13:54:11.1 57.82 -31.97 10.0 0.0 4.8 255 45 -90 74 45 -90 -2.950 2.340 0.609 -0.016 -0.012 0.519 165 0 2.484 75 0 0.465 312 90 -2.950 2.717 23 C201501161354A 
2015/01/16 17:38:22.1 -17.31 64.61 8.4 0.0 4.7 69 41 -123 290 57 -64 -1.400 1.320 0.079 0.384 -0.720 0.062 2 8 1.374 95 21 0.364 252 67 -1.740 1.557 23 C201501161738A 
2015/01/16 22:00:39.7 -93.70 -38.10 10.0 0.0 4.7 207 38 -52 343 61 -115 -2.080 0.106 1.970 1.140 -0.980 0.300 91 13 2.195 356 22 0.585 209 64 -2.785 2.490 23 C201501162200A 
2015/01/17 05:09:21.1 120.64 13.95 146.0 0.0 5.3 311 21 107 113 70 84 0.671 -0.493 -0.179 0.736 -0.267 0.316 12 65 1.037 115 6 0.000 208 24 -1.038 1.037 24 C201501170509A 
2015/01/17 07:56:18.5 -112.14 -23.03 10.0 0.0 4.8 116 43 -104 315 49 -77 -0.934 0.619 0.315 -0.021 -0.187 -0.439 36 3 0.936 126 10 0.030 290 80 -0.966 0.951 24 C201501170756A 
2015/01/17 10:10:20.5 167.64 -17.91 10.0 0.0 4.8 349 22 89 170 68 90 2.520 -0.126 -2.390 0.437 -2.580 0.437 81 67 3.641 350 0 -0.045 260 23 -3.592 3.616 23 C201501171010A 
2015/01/17 16:07:40.3 125.35 0.46 59.9 0.0 4.9 40 75 7 308 83 165 -0.136 -2.510 2.640 -0.301 0.808 -0.541 263 15 2.925 104 74 -0.344 355 5 -2.586 2.755 23 C201501171607A 
2015/01/17 18:41:42.8 -63.15 -22.24 557.2 0.0 5.6 143 19 58 357 74 101 1.370 -0.110 -1.260 0.043 2.090 0.505 282 60 2.554 174 10 -0.065 79 28 -2.489 2.522 24 B201501171841A 
2015/01/17 23:39:51.9 131.86 -5.77 56.8 0.0 5.5 61 79 7 330 83 169 0.156 -2.390 2.230 0.013 0.572 1.380 285 12 2.731 118 77 0.043 16 3 -2.778 2.754 24 C201501172339A 
2015/01/18 00:27:22.2 120.69 13.93 149.8 0.0 5.3 336 26 135 108 72 71 4.090 -2.550 -1.540 5.660 -1.220 3.320 352 59 7.376 114 18 0.380 213 25 -7.756 7.566 23 C201501180027A 
2015/01/18 03:59:59.0 -71.70 -32.70 25.8 0.0 4.8 18 17 128 158 77 80 3.110 0.097 -3.200 2.580 -5.470 -0.064 55 57 7.024 161 10 -0.415 257 31 -6.602 6.813 23 C201501180359A 
2015/01/18 04:27:43.9 142.49 28.57 20.8 0.0 5.0 172 33 75 11 58 100 2.350 -0.112 -2.240 0.474 1.060 -0.036 308 75 2.658 185 8 -0.179 93 13 -2.481 2.569 23 C201501180427A 
